CUAHUTAMAZACO,,,,,,,
DIMENSIÓN,Item,DSBC WOMEN 16-17,DSBC WOMEN 18-29,DSBC WOMEN 30-39,DSBC WOMEN 40-49,DSBC WOMEN 50-59,DSBC WOMEN 60 +
JUSTICIA,1,7,7,8,6,9,8
JUSTICIA,2,9,4,4,6,4,6
JUSTICIA,3,1,1,1,2,1,1
JUSTICIA,4,9,10,10,9,9,10
JUSTICIA,5,5,6,6,3,5,6
JUSTICIA,6,10,10,10,9,9,10
JUSTICIA,7,10,10,10,10,10,10
JUSTICIA,8,9,10,10,10,10,10
JUSTICIA,9,8,8,7,7,8,9
JUSTICIA,10,10,10,9,9,9,8
JUSTICIA,11,2,2,2,1,1,2
JUSTICIA,12,5,3,4,3,4,5
JUSTICIA,13,1,1,1,1,1,1
JUSTICIA,14,10,10,9,10,9,9
JUSTICIA,15,4,4,4,2,4,5
ESTABILIDAD,16,7,6,6,4,6,5
ESTABILIDAD,17,9,10,10,10,7,10
ESTABILIDAD,18,7,5,5,5,5,7
ESTABILIDAD,19,9,10,10,10,10,10
ESTABILIDAD,20,2,4,4,6,3,4
ESTABILIDAD,21,5,7,5,6,5,5
ESTABILIDAD,22,4,3,4,3,2,2
ESTABILIDAD,23,10,10,10,10,10,10
ESTABILIDAD,24,10,10,10,10,10,10
GOBERNANZA,25,4,4,3,5,5,5
GOBERNANZA,26,9,7,7,7,8,9
GOBERNANZA,27,2,3,3,4,1,4
GOBERNANZA,28,8,9,8,9,8,8
GOBERNANZA,29,9,8,9,10,8,10
GOBERNANZA,30,5,5,5,5,6,5
GOBERNANZA,31,6,4,4,3,4,5
GOBERNANZA,32,6,9,7,7,8,9
GOBERNANZA,33,4,3,2,4,3,3
GOBERNANZA,34,1,1,1,1,2,1
GOBERNANZA,35,5,4,5,6,4,5
GOBERNANZA,36,5,5,4,3,4,4
GOBERNANZA,37,1,1,2,3,3,4
GOBERNANZA,38,2,1,1,3,1,1
GOBERNANZA,39,5,5,5,6,6,5
GOBERNANZA,40,5,4,4,4,6,5
AGENCIA,41,10,8,9,10,10,9
AGENCIA,42,10,8,8,10,8,9
AGENCIA,43,10,7,8,9,7,9
AGENCIA,44,10,8,9,9,8,9
AGENCIA,45,5,7,5,8,7,5
AGENCIA,46,7,5,5,7,7,5
AGENCIA,47,5,5,5,5,5,8
AGENCIA,48,9,9,8,9,9,10
AGENCIA,49,5,7,5,5,5,5
HUMANIDAD,50,10,8,9,10,7,10
HUMANIDAD,51,5,5,5,6,7,5
HUMANIDAD,52,4,3,4,2,2,3
HUMANIDAD,53,5,8,8,7,7,8
HUMANIDAD,54,5,5,5,6,9,5
HUMANIDAD,55,4,6,3,6,6,6
HUMANIDAD,56,9,7,7,7,8,5
HUMANIDAD,58,10,9,9,9,8,10
HUMANIDAD,59,10,10,10,10,10,10
HUMANIDAD,60,9,9,9,9,9,10
HUMANIDAD,61,9,10,9,9,9,9
HUMANIDAD,62,7,6,7,6,6,7
