RACEID,DRIVERID,LAP,POSITION,MILLISECONDS,DRIVERREF,RACE_NAME,PIT_STOP,MILLISECONDS_CUMULATIVE,MEDIAN_MILLISECONDS_CUMULATIVE
879,3,1,11,92227,rosberg,2012 Brazilian Grand Prix,N,92227,92696
879,817,1,12,93165,ricciardo,2012 Brazilian Grand Prix,N,93165,92696
879,30,1,13,93200,michael_schumacher,2012 Brazilian Grand Prix,N,93200,92696
879,39,1,21,98972,karthikeyan,2012 Brazilian Grand Prix,N,98972,92696
879,20,1,22,99703,vettel,2012 Brazilian Grand Prix,N,99703,92696
879,37,1,19,97008,rosa,2012 Brazilian Grand Prix,N,97008,92696
879,813,1,9,90970,maldonado,2012 Brazilian Grand Prix,N,90970,92696
879,10,1,17,95808,glock,2012 Brazilian Grand Prix,N,95808,92696
879,18,1,2,86961,button,2012 Brazilian Grand Prix,N,86961,92696
879,13,1,3,88414,massa,2012 Brazilian Grand Prix,N,88414,92696
879,17,1,4,88422,webber,2012 Brazilian Grand Prix,N,88422,92696
879,4,1,5,88548,alonso,2012 Brazilian Grand Prix,N,88548,92696
879,819,1,20,97495,pic,2012 Brazilian Grand Prix,N,97495,92696
879,5,1,15,95308,kovalainen,2012 Brazilian Grand Prix,N,95308,92696
879,808,1,14,94404,petrov,2012 Brazilian Grand Prix,N,94404,92696
879,818,1,18,96216,vergne,2012 Brazilian Grand Prix,N,96216,92696
879,155,1,10,92223,kobayashi,2012 Brazilian Grand Prix,N,92223,92696
879,154,1,16,95416,grosjean,2012 Brazilian Grand Prix,N,95416,92696
879,814,1,7,90124,resta,2012 Brazilian Grand Prix,N,90124,92696
879,8,1,8,90963,raikkonen,2012 Brazilian Grand Prix,N,90963,92696
879,1,1,1,86332,hamilton,2012 Brazilian Grand Prix,N,86332,92696
879,807,1,6,88832,hulkenberg,2012 Brazilian Grand Prix,N,88832,92696
879,39,2,21,85444,karthikeyan,2012 Brazilian Grand Prix,N,184416,176077
879,37,2,18,83459,rosa,2012 Brazilian Grand Prix,N,180467,176077
879,817,2,12,83059,ricciardo,2012 Brazilian Grand Prix,N,176224,176077
879,30,2,11,82877,michael_schumacher,2012 Brazilian Grand Prix,N,176077,176077
879,17,2,5,82783,webber,2012 Brazilian Grand Prix,N,171205,176077
879,807,2,4,82262,hulkenberg,2012 Brazilian Grand Prix,N,171094,176077
879,819,2,19,83433,pic,2012 Brazilian Grand Prix,N,180928,176077
879,20,2,20,81316,vettel,2012 Brazilian Grand Prix,N,181019,176077
